Employee_ID,HR_Job_Type,HR_Location,Hire_Date,Termination_Date
9002712,Correctional,Epsilon,2015-02-01,NA
9002718,Correctional,Alpha,2015-02-01,NA
9002721,Correctional,Gamma,2017-04-01,NA
9002722,Correctional,Delta,2017-10-16,NA
9002723,Correctional,Gamma,2015-02-17,NA
9002727,Correctional Supervisor,Gamma,2015-03-01,NA
9002729,Correctional,Gamma,2015-03-01,NA
9002730,Correctional,Epsilon,2015-03-01,NA
9002731,Correctional,Delta,2015-03-01,NA
9002740,Correctional,Gamma,2015-03-16,NA
9002742,Correctional,Gamma,2015-03-16,NA
9002745,Correctional,Alpha,2017-10-01,NA
9002746,Correctional,Alpha,2015-04-01,NA
9002748,Correctional,Gamma,2015-04-01,NA
9002753,Correctional,Delta,2015-04-01,NA
9002760,Correctional,Beta,2015-04-15,NA
9002761,Correctional,Beta,2015-04-15,NA
9002763,Correctional,Alpha,2015-05-01,NA
9002770,Correctional,Beta,2015-05-01,NA
9002773,Correctional,Epsilon,2017-03-01,NA
9002783,Correctional,Gamma,2017-02-01,NA
9002787,Correctional,Epsilon,2015-06-01,NA
